CU	Tomato EST	A.t. Best	A.t.	        EST
T1099	TFBAU45TH	AC006569.4	2.1170000	cTOB6G17
T1103	TFBAU64THC	AC011809.2	1.0445000	cTOB6K7
T1105	TFBAU85TH	AB017070.1	5.1390000	cTOB6O1
T1106	TFBAU87THB	AB024033.1	3.0180000	cTOB6O5
T1107	TFBAU93TH	AC016162.3	1.1393000	cTOB6O17
T1109	TFBBA20TH	AL031394.1	4.1720000	cTOB7D15
T1110	TFBBA21TH	Z97341.2	4.0900000	cTOB7D17
T1111	TFBBA33TH	AC002409.2	2.2220000	cTOB7F17
T1112	TFBBA37TH	AC005967.2	2.1370000	cTOB7H1
T1114	TFBBA62TH	AC009853.2	3.0110000	cTOB7L3
T1116	TFBBA75TH	AP000370.1	3.0290000	cTOB7N5
T1117	TFBBA93TH	AC011915.3	1.1334000	cTOB7P17
T1118	TFBBA94TH	AC000132.1	1.0270000	cTOB7P19
T1119	TFBBA96TH	AB025622.1	5.2090000	cTOB7P23
T1122	TFBBC16TH	Z97341.2	4.0900000	cTOB8C7
T1123	TFBBC29TH	AC006954.7	2.1390000	cTOB8E9
T1124	TFBBC48TH	AB020745.1	5.1760000	cTOB8G23
T1125	TFBBC61TH	AC004512.1	1.1264000	cTOB8K1
T1128	TFBBD02TH	AB010076.1	5.2840000	cTOB8A4
T1129	TFBBD16TH	AC003000.2	2.2150000	cTOB8C8
T1130	TFBBD17TH	AB006708.1	5.0370000	cTOB8C10
T1131	TFBBD21TH	AC011661.5	1.0350000	cTOB8C18
T1132	TFBBD39TH	AF000657.1	1.0490000	cTOB8G6
T1135	TFBBD57TH	AC007591.2	1.0400000	cTOB8I18
T1136	TFBBE22TH	AC007591.2	1.0400000	cTOB8D19
T1137	TFBBE34TH	AL132963.1	3.1142000	cTOB8F19
T1139	TFBBE86TH	AL050400.1	4.1310000	cTOB8P3
T1140	TFBBE94TH	AL132962.1	3.2500000	cTOB8P19
T1142	TFBBG13TH	AB026649.1	3.0870000	cTOB9C1
T1143	TFBBG32TH	AC001645.1	3.0370000	cTOB9E15
T1144	TFBBG34TH	AP000600.1	3.0245000	cTOB9E19
T1146	TFBBG94TH	AL162506.1	5.0017000	cTOB9O19
T1148	TFBBH27TH	AL021710.1	4.0970000	cTOB9E6
T1150	TFBBH29TH	AB024033.1	3.0180000	cTOB9E10
T1151	TFBBH34TH	AC007138.1	4.0120000	cTOB9E20
T1152	TFBBH50TH	AC011436.5	3.0131000	cTOB9I4
T1153	TFBBI05TH	AC024261.4	1.0914000	cTOB9B9
T1155	TFBBI10TH	AB023044.1	5.1960000	cTOB9B19
T1156	TFBBI13TH	AB007647.1	5.1340000	cTOB9D1
T1157	TFBBI25TH	AC004681.2	2.1830000	cTOB9F1
T1158	TFBBI51TH	AB028614.1	3.1062000	cTOB9J5
T1159	TFBBI81TH	AC007730.2	2.0440000	cTOB9N17
T1160	TFBBJ14TH	AC005309.2	2.2550000	cTOB9D4
T1161	TFBBJ25TH	AC007727.2	1.0460000	cTOB9F2
T1162	TFBBJ35TH	AL021635.1	4.1170000	cTOB9F22
T1164	TFBBJ43TH	AB012246.1	5.0290000	cTOB9H14
T1168	TFBBJ85TH	AF069300.1	4.0090000	cTOB9P2
T1169	TFBBK22TH	AB017063.1	5.1950000	cTOB10C19
T1171	TFBBK32TH	AL132955.1	3.1105000	cTOB10E15
T1172	TFBBK47TH	AL080283.1	4.1600000	cTOB10G21
T1173	TFBBK51TH	AC007396.6	1.1415000	cTOB10I5
T1174	TFBBL15TH	AC008113.4	1.1330000	cTOB10C6
T1176	TFBBL51TH	AC009323.4	1.1040000	cTOB10I6
T1177	TPTAA06TH	AF177535.1	5.0690000	cLPT1A11
T1179	TPTAA10TV	AL021811.1	4.1640000	cLPT1A19
T1181	TPTAA15TH	AB025613.1	5.1850000	cLPT1C5
T1182	TPTAA16TV	AB008270.1	5.0240000	cLPT1C7
T1183	TPTAA18TH	AL133315.1	3.1141000	cLPT1C11
T1184	TPTAA20TV	AC004005.2	2.2380000	cLPT1C15
T1185	TPTAA24TH	AC009322.1	1.1550000	cLPT1C23
T1187	TPTAA27TH	AC006526.7	2.2470000	cLPT1E5
T1188	TPTAA29TV	AC005496.2	2.1680000	cLPT1E9
T1190	TPTAA40TH	AB025638.1	5.1400000	cLPT1G7
T1196	TPTAA57TV	AL022537.1	4.1670000	cLPT1I17
T1198	TPTAA63TV	AC009853.2	3.0110000	cLPT1K5
T1200	TPTAA67TV	AC007660.2	2.2210000	cLPT1K13
T1201	TPTAA69TH	AB025626.1	3.0900000	cLPT1K17
T1202	TPTAA73TV	AB010072.1	5.1220000	cLPT1M1
T1203	TPTAA74TV	U93215.2	2.1730000	cLPT1M3
T1204	TPTAA75TV	AC006234.3	2.1200000	cLPT1M5
T1205	TPTAA76TV	AC006283.5	2.1610000	cLPT1M7
T1207	TPTAA81TV	AC006200.2	2.0020000	cLPT1M17
T1208	TPTAA82TH	AC005278.1	1.0050000	cLPT1M19
T1209	TPTAA83TV	AB026658.1	3.0510000	cLPT1M21
T1211	TPTAA86TV	AB018115.1	5.2160000	cLPT1O3
T1212	TPTAA89TH	AL132957.1	3.1186000	cLPT1O9
T1214	TPTAA96TH	AC004484.2	2.1480000	cLPT1O23
T1215	TPTAB05TH	AC012654.2	1.1395000	cLPT1A10
T1217	TPTAB13TH	AL133314.1	3.1089000	cLPT1C2
T1218	TPTAB14TH	AC007196.4	2.0160000	cLPT1C4
T1219	TPTAB18TH	AC009177.5	3.0090000	cLPT1C12
T1220	TPTAB22TH	AC006931.5	2.2320000	cLPT1C20
T1222	TPTAB30TH	Z97337.2	4.0860000	cLPT1E12
T1223	TPTAB53TH	AL035525.1	4.1700000	cLPT1I10
T1224	TPTAB63TH	AC007259.4	1.0340000	cLPT1K6
T1226	TPTAB68TH	Z99707.1	4.1870000	cLPT1K16
T1227	TPTAB70TH	AB007646.1	5.2790000	cLPT1K20
T1228	TPTAB71TH	AC008051.3	1.1045000	cLPT1K22
T1230	TPTAC11TH	AL049659.2	3.1140000	cLPT1B21
T1232	TPTAC15TH	AC013430.5	1.1496000	cLPT1D5
T1233	TPTAC22TH	AC008113.4	1.1330000	cLPT1D19
T1235	TPTAD07TH	AB013392.1	5.2360000	cLPT1B14
T1236	TPTAD15TH	AC013289.9	1.1353000	cLPT1D6
T1238	TPTAD35TH	AL035521.1	4.1750000	cLPT1F22
T1240	TPTAD52TH	AC002131.1	1.0370000	cLPT1J8
T1241	TPTAD53TH	AB006704.1	5.0190000	cLPT1J10
T1242	TPTAD64TH	AB011477.1	5.1200000	cLPT1L8
T1243	TPTAD72TH	AB025609.1	5.1670000	cLPT1L24
T1244	TPTAD78TH	AB006699.1	5.0320000	cLPT1N12
T1245	TPTAD81TH	AC011717.4	1.1541000	cLPT1N18
T1248	TPTAE09TH	AB013394.1	5.1660000	cLPT2A17
T1249	TPTAE11TH	AL022141.1	4.1850000	cLPT2A21
T1250	TPTAE15TH	AC000103.2	1.0560000	cLPT2C5
T1251	TPTAE23TH	AL078620.2	4.1970000	cLPT2C21
T1252	TPTAE25TH	AC004473.1	1.1049000	cLPT2E1
T1253	TPTAE31TH	AC015446.4	1.0735000	cLPT2E13
T1255	TPTAE44TH	AB010697.1	5.0120000	cLPT2G15
T1256	TPTAE58TH	AC004077.2	2.1910000	cLPT2I19
T1257	TPTAE60TH	AC007259.4	1.0340000	cLPT2I23
T1258	TPTAE67TH	AL079349.2	4.0790000	cLPT2K13
T1260	TPTAE80TH	AC010797.2	3.0035000	cLPT2M15
T1261	TPTAE85TH	AL132975.1	3.1193000	cLPT2O1
T1262	TPTAE88TH	AB015476.1	5.2120000	cLPT2O7
T1263	TPTAE91TH	AF080121.1	5.0750000	cLPT2O13
T1264	TPTAE92TH	AC016447.3	1.1332000	cLPT2O15
T1265	TPTAF06TH	Z97338.2	4.0870000	cLPT2A12
T1266	TPTAF09TH	AC003979.1	1.0480000	cLPT2A18
T1267	TPTAF10TH	AC006569.4	2.1170000	cLPT2A20
T1268	TPTAF17TH	AC005727.2	2.1650000	cLPT2C10
T1269	TPTAF21TH	AC010924.2	1.0430000	cLPT2C18
T1270	TPTAF28TH	AL078467.1	4.1400000	cLPT2E8
T1271	TPTAF32TH	AC004411.2	2.2510000	cLPT2E16
T1272	TPTAF35TH	AC009918.3	3.0170000	cLPT2E22
T1273	TPTAF37TH	AC005142.2	4.0210000	cLPT2G2
T1274	TPTAF54TH	AB015472.1	5.2610000	cLPT2I12
T1275	TPTAF59TH	AC005396.2	2.0870000	cLPT2I22
T1276	TPTAF61TH	AL109796.1	4.1540000	cLPT2K2
T1277	TPTAF63TH	AC009978.3	1.1420000	cLPT2K6
T1278	TPTAF69TH	AB012248.1	5.1900000	cLPT2K18
T1280	TPTAF75TH	AB026632.1	5.2570000	cLPT2M6
T1281	TPTAF87TH	AC005499.2	2.2090000	cLPT2O6
T1283	TPTAF91TH	AB012247.1	3.0350000	cLPT2O14
T1284	TPTAG06TH	AC002387.2	2.2430000	cLPT2B11
T1285	TPTAG10TH	AC006569.4	2.1170000	cLPT2B19
T1286	TPTAG15TH	AB010074.2	5.2000000	cLPT2D5
T1287	TPTAG27TH	AF128392.1	4.0050000	cLPT2F5
T1288	TPTAG29TH	AC015450.3	1.1431000	cLPT2F9
T1289	TPTAG46TH	AC010793.3	1.1500000	cLPT2H19
T1290	TPTAG52TH	AC016162.3	1.1393000	cLPT2J7
T1291	TPTAG54TH	AL162972.1	5.0025000	cLPT2J11
T1292	TPTAG57TH	AL080282.1	4.1080000	cLPT2J17
T1293	TPTAG58TH	AC008030.4	1.0640000	cLPT2J19
T1294	TPTAG64TH	AL050399.1	4.0720000	cLPT2L7
T1295	TPTAG66TH	Z97337.2	4.0860000	cLPT2L11
T1296	TPTAG70TH	AC005168.2	2.1510000	cLPT2L19
T1297	TPTAG78TH	AB007651.1	5.0300000	cLPT2N11
T1299	TPTAG91TH	AL021711.2	4.0990000	cLPT2P13
T1302	TPTAH07TH	AB012248.1	5.1900000	cLPT2B14
T1304	TPTAH13TH	AL049915.1	4.1680000	cLPT2D2
T1305	TPTAH24TH	AC004747.2	2.1470000	cLPT2D24
T1306	TPTAH34TH	AL035538.1	4.1910000	cLPT2F20
T1308	TPTAH52TH	AC020889.3	1.0879000	cLPT2J8
T1311	TPTAH70TH	AF001308.1	4.0130000	cLPT2L20
T1312	TPTAH76TH	AL132960.2	3.1185000	cLPT2N8
T1313	TPTAH81TH	AB022215.1	3.0650000	cLPT2N18
T1314	TPTAH96TH	AL035356.1	4.1250000	cLPT2P24
T1315	TPTAN01TH	AC007233.6	2.0300000	cLPT4A2
T1316	TPTAN03TH	AF000657.1	1.0490000	cLPT4A6
T1317	TPTAN07TH	AC003981.2	1.0220000	cLPT4A14
T1318	TPTAN08TH	AC003979.1	1.0480000	cLPT4A16
T1319	TPTAN09TH	AC005292.4	1.0510000	cLPT4A18
T1320	TPTAN11TH	Z97343.1	4.0920000	cLPT4A22
T1321	TPTAN12TH	AL031018.1	4.1180000	cLPT4A24
T1322	TPTAN14TH	AB023046.1	3.0360000	cLPT4C4
T1323	TPTAN15TH	AC003981.2	1.0220000	cLPT4C6
T1326	TPTAN27TH	AC020665.4	1.1271000	cLPT4E6
T1327	TPTAN30TH	AC023628.3	1.0015000	cLPT4E12
T1328	TPTAN34TH	AL049657.1	4.1260000	cLPT4E20
T1329	TPTAN41TH	AL035440.2	4.1370000	cLPT4G10
T1330	TPTAN45TH	AB018114.1	3.0910000	cLPT4G18
T1331	TPTAN47TH	AB022219.1	3.0450000	cLPT4G22
T1332	TPTAN55TH	AC009273.2	1.0017000	cLPT4I14
T1335	TPTAN80TH	AC008075.2	1.1340000	cLPT4M16
T1336	TPTAN86TH	AC002986.1	1.1499000	cLPT4O4
T1340	TPTAO07TH	AC009465.5	3.0080000	cLPT4B13
T1341	TPTAO08TH	AB028605.1	5.1630000	cLPT4B15
T1343	TPTAO11TH	AC007661.2	2.2060000	cLPT4B21
T1347	TPTAO25TH	AB019233.1	5.2400000	cLPT4F1
T1349	TPTAO48TH	AB012247.1	3.0350000	cLPT4H23
T1350	TPTAO49TH	AC005395.2	2.1460000	cLPT4J1
T1351	TPTAO56TH	AL049658.1	3.1120000	cLPT4J15
T1352	TPTAO59TH	AC007060.2	1.0642000	cLPT4J21
T1353	TPTAO69TH	AC034256.3	1.0402500	cLPT4L17
T1354	TPTAO70TH	AC007504.3	1.0900000	cLPT4L19
T1355	TPTAO86TH	AC025295.5	1.0640900	cLPT4P3
T1356	TPTAO92TH	AC004261.2	2.2230000	cLPT4P15
T1357	TPTAP01TH	AB019234.1	5.2350000	cLPT4B2
T1358	TPTAP09TH	AL034567.1	4.1650000	cLPT4B18
T1359	TPTAP10TH	AC011622.4	1.1215000	cLPT4B20
T1360	TPTAP20TH	AC002387.2	2.2430000	cLPT4D16
T1361	TPTAP22TH	AC004667.2	2.1940000	cLPT4D20
T1364	TPTAP45TH	AB016874.1	5.1500000	cLPT4H18
T1365	TPTAP50TH	AC006932.8	1.0210000	cLPT4J4
T1366	TPTAQ08TH	AB022219.1	3.0450000	cLPT5A15
T1368	TPTAQ13TH	AL023094.2	4.1760000	cLPT5C1
T1369	TPTAQ19TH	Z97339.2	4.0880000	cLPT5C13
T1370	TPTAQ32TH	AC006569.4	2.1170000	cLPT5E15
T1371	TPTAQ34TH	AL031018.1	4.1180000	cLPT5E19
T1372	TPTAQ40TH	AB016889.1	3.0860000	cLPT5G7
T1373	TPTAQ50TH	AB013396.1	5.2440000	cLPT5I3
T1374	TPTAQ61TH	AB006700.2	5.0110000	cLPT5K1
T1376	TPTAQ69TH	AB008265.1	5.2750000	cLPT5K17
T1380	TPTAQ81TH	AC074226.3	1.0864500	cLPT5M17
T1381	TPTAQ83TH	AC006577.2	1.0970000	cLPT5M21
T1383	TPTAQ94TH	AB015472.1	5.2610000	cLPT5O19
T1384	TPTAR05TH	AC005917.2	2.1140000	cLPT5A10
T1385	TPTAR17TH	AL022604.1	4.1800000	cLPT5C10
T1388	TPTAR26TH	AL035394.1	4.1210000	cLPT5E4
T1389	TPTAR28TH	AC006085.1	1.0912000	cLPT5E8
T1390	TPTAR29TH	AL049862.1	3.1150000	cLPT5E10
T1391	TPTAR37TH	AP000372.1	5.1750000	cLPT5G2
T1392	TPTAR40TH	AC009400.2	3.0140000	cLPT5G8
T1393	TPTAR44TH	AL049607.1	4.1620000	cLPT5G16
T1394	TPTAR47TH	AC008113.4	1.1330000	cLPT5G22
T1395	TPTAR48TH	AL022140.1	4.1140000	cLPT5G24
T1398	TPTAR64TH	AC004705.2	2.0860000	cLPT5K8
T1399	TPTAR66TH	AC006929.3	2.1580000	cLPT5K12
T1400	TPTAR67TH	AC013288.5	1.1275000	cLPT5K14
T1401	TPTAR69TH	AC009894.2	1.1000000	cLPT5K18
T1405	TPTAR86TH	AC009243.3	1.1490000	cLPT5O4
T1406	TPTAR96TH	AL132975.1	3.1193000	cLPT5O24
T1407	TPTAS08TH	AC002535.2	2.2540000	cLPT5B15
T1409	TPTAS12TH	AF013293.1	4.0030000	cLPT5B23
T1412	TPTAS22TH	AC011661.5	1.0350000	cLPT5D19
T1413	TPTAS27TH	AC002521.2	2.0110000	cLPT5F5
T1414	TPTAS31TH	AC011623.3	3.0114000	cLPT5F13
T1415	TPTAS38TH	AC064879.3	1.0026000	cLPT5H3
T1416	TPTAS47TH	AC006072.3	2.2560000	cLPT5H21
T1418	TPTAS53TH	AB016880.1	5.2690000	cLPT5J9
T1420	TPTAS58TH	AF147263.1	4.0350000	cLPT5J19
T1421	TPTAS63TH	AC002330.1	4.0160000	cLPT5L5
T1422	TPTAS72TH	AB022217.1	3.0390000	cLPT5L23
T1424	TPTAS87TH	AB025641.1	5.0480000	cLPT5P5
T1428	TPTAT13TH	AC002505.2	2.1490000	cLPT5D2
T1429	TPTAT19TH	AL132963.1	3.1142000	cLPT5D14
T1430	TPTAT22TH	AC004218.2	2.2130000	cLPT5D20
T1433	TPTAT27TH	AF007269.1	4.0080000	cLPT5F6
T1434	TPTAT35TH	AC013289.9	1.1353000	cLPT5F22
T1435	TPTAT42TH	AL163814.1	5.0172400	cLPT5H12
T1436	TPTAT49TH	AL353993.1	5.0225000	cLPT5J2
T1438	TPTAT53TH	AL022603.1	4.1110000	cLPT5J10
T1440	TPTAT63TH	AC005990.1	1.0530000	cLPT5L6
T1441	TPTAT66TH	AC016972.5	1.1391000	cLPT5L12
T1442	TPTAT68TH	AC008263.2	1.1410000	cLPT5L16
T1443	TPTAT69TH	AB016880.1	5.2690000	cLPT5L18
T1447	TPTAT77TH	AB019230.1	3.0470000	cLPT5N10
T1448	TPTAT83TH	AC008075.2	1.1340000	cLPT5N22
T1449	TPTAT92TH	AB020745.1	5.1760000	cLPT5P16
T1450	TPTAU08TV	AC007048.4	2.1190000	cLPT6A15
T1451	TPTAU12TH	AC011765.4	1.1407000	cLPT6A23
T1453	TPTAU20TH	AC011436.5	3.0131000	cLPT6C15
T1455	TPTAU24TH	AF128396.1	4.0560000	cLPT6C23
T1456	TPTAU26TH	AB005230.2	5.0210000	cLPT6E3
T1457	TPTAU29TH	AC013483.5	3.0121000	cLPT6E9
T1458	TPTAU32TH	Z97343.1	4.0920000	cLPT6E15
T1459	TPTAU36TH	AC011663.5	1.1385000	cLPT6E23
T1460	TPTAU39TH	AC016827.5	3.0118000	cLPT6G5
T1462	TPTAU60TH	AL132964.2	3.1145000	cLPT6I23
T1463	TPTAU69TH	AL031018.1	4.1180000	cLPT6K17
T1465	TPTAU71TH	AC005397.2	2.2460000	cLPT6K21
T1467	TPTAV02TH	AP000378.1	5.2050000	cLPT6A4
T1468	TPTAV14TH	AC011663.5	1.1385000	cLPT6C4
T1471	TPTAV20TH	AC003040.2	2.1340000	cLPT6C16
T1473	TPTAV24TH	AC005990.1	1.0530000	cLPT6C24
T1474	TPTAV26TH	AB013393.2	5.0800000	cLPT6E4
T1475	TPTAV33TH	AC009325.6	3.0030000	cLPT6E18
T1477	TPTAV42TH	AC002330.1	4.0160000	cLPT6G12
T1478	TPTAV53TH	AC003981.2	1.0220000	cLPT6I10
T1479	TPTAV56TH	AL022603.1	4.1110000	cLPT6I16
T1480	TPTAV57TH	AL391143.1	5.0226000	cLPT6I18
T1481	TPTAV67TH	AL096692.1	4.1500000	cLPT6K14
T1482	TPTAV74TH	AC005970.2	2.0320000	cLPT6M4
T1483	TPTAV76TH	AB025624.1	3.0540000	cLPT6M8
T1484	TPTAV85TH	AB016888.1	5.1310000	cLPT6O2
T1485	TPTAV94TH	AC005388.1	1.0990000	cLPT6O20
T1486	TPTAW08TH	AC009755.5	3.0040000	cLPT6B15
T1487	TPTAW09TH	AC006053.2	2.1450000	cLPT6B17
T1488	TPTAW10TH	AL162651.1	3.3000000	cLPT6B19
T1490	TPTAW18TH	AC008017.2	1.1400000	cLPT6D11
T1491	TPTAW23TH	AB018111.1	5.0060000	cLPT6D21
T1492	TPTAW36TH	AL022224.1	4.1050000	cLPT6F23
T1493	TPTAW45TH	AC009177.5	3.0090000	cLPT6H17
T1494	TPTAW52TH	AB011474.1	5.2950000	cLPT6J7
T1497	TPTAW74TH	AB023038.1	3.0280000	cLPT6N3
T1499	TPTAW78TH	AC005679.1	1.1498000	cLPT6N11
T1500	TPTAW90TH	AB019235.1	5.2700000	cLPT6P11
T1501	TPTAW91TH	AC007267.4	2.0900000	cLPT6P13
T1502	TPTAX06TH	AC009360.2	1.1260000	cLPT6B12
T1503	TPTAX11TH	AC005819.2	2.2490000	cLPT6B22
T1504	TPTAX17TH	AC007209.5	2.0750000	cLPT6D10
T1506	TPTAX29TH	AC011765.4	1.1407000	cLPT6F10
T1509	TPTAY14TH	AC000107.2	1.0644000	cLPT7C3
T1510	TPTAY16TH	AC007233.6	2.0300000	cLPT7C7
T1511	TPTAY18TH	AL080253.2	4.1060000	cLPT7C11
T1513	TPTAY25TH	AC006224.3	2.2340000	cLPT7E1
T1514	TPTAY40TH	AL096859.2	3.1090000	cLPT7G7
T1515	TPTAY42TH	AC006416.2	1.0250000	cLPT7G11
T1516	TPTAY59TH	AC004077.2	2.1910000	cLPT7I21
T1517	TPTAY72TH	AC005168.2	2.1510000	cLPT7K23
T1518	TPTAY78TH	AB013392.1	5.2360000	cLPT7M11
T1519	TPTAY85TH	AC020889.3	1.0879000	cLPT7O1
T1521	TPTAY93TH	AC010164.2	1.0730000	cLPT7O17
T1522	TPTAZ06TH	AL031326.1	4.1200000	cLPT7A12
T1523	TPTAZ14TH	AC002343.1	4.1230000	cLPT7C4
T1524	TPTAZ20TH	AC007354.2	1.0320000	cLPT7C16
T1525	TPTAZ27TH	AL132954.1	3.1192000	cLPT7E6
T1526	TPTAZ31TH	AB018109.1	5.1980000	cLPT7E14
T1527	TPTAZ38TH	AL035678.1	4.1710000	cLPT7G4
T1529	TPTAZ49TH	AB005243.1	5.0350000	cLPT7I2
T1530	TPTAZ53TH	AB018113.1	5.1550000	cLPT7I10
T1532	TPTAZ78TH	AL035527.1	4.1120000	cLPT7M12
T1534	TPTBA01TH	AL049658.1	3.1120000	cLPT7B1
T1535	TPTBA07TH	AC011915.3	1.1334000	cLPT7B13
T1536	TPTBA19TH	AB023046.1	3.0360000	cLPT7D13
T1537	TPTBA25TH	AC002131.1	1.0370000	cLPT7F1
T1539	TPTBA32TH	AC007583.2	1.0190000	cLPT7F15
T1540	TPTBA88TH	AB005244.2	5.0420000	cLPT7P7
T1541	TPTBA93TH	Z97341.2	4.0900000	cLPT7P17
T1542	TPTBA94TH	AB011482.1	5.2420000	cLPT7P19
T1543	TPTBB05TH	Z97335.2	4.0840000	cLPT7B10
T1544	TPTBB19TH	AL109796.1	4.1540000	cLPT7D14
T1545	TPTBB27TH	Z99708.1	4.1860000	cLPT7F6
T1546	TPTBB35TH	AB016886.1	5.1710000	cLPT7F22
T1547	TPTBB43TH	AB026651.1	5.1430000	cLPT7H14
T1548	TPTBB51TH	AL079344.1	4.1510000	cLPT7J6
T1549	TPTBB54TH	AC002409.2	2.2220000	cLPT7J12
T1550	TPTBB56TH	AC011020.6	1.1320000	cLPT7J16
T1551	TPTBB57TH	AC008007.7	1.0940000	cLPT7J18
T1554	TPTBB81TH	AB026648.1	3.0850000	cLPT7N18
T1555	TPTBB82TH	AB013389.1	5.2970000	cLPT7N20
T1556	TPTBB86TH	AB009053.1	5.2730000	cLPT7P4
T1557	TPTBB93TH	AC007197.5	2.0810000	cLPT7P18
T1559	TPTBC03TH	AB025633.2	5.0410000	cLPT8A5
T1560	TPTBC06TH	AC013430.5	1.1496000	cLPT8A11
T1561	TPTBC19TH	AC009273.2	1.0017000	cLPT8C13
T1563	TPTBC32TH	AC009991.3	3.0150000	cLPT8E15
T1564	TPTBC34TH	AL132958.1	3.1183000	cLPT8E19
T1566	TPTBC56TH	AC011664.8	3.0036000	cLPT8I15
T1568	TPTBC62TH	AC006068.3	2.1960000	cLPT8K3
T1569	TPTBC67TH	AB006697.1	5.0150000	cLPT8K13
T1570	TPTBC68TH	AC003672.2	2.2400000	cLPT8K15
T1571	TPTBC69TH	AL021712.2	4.1150000	cLPT8K17
T1572	TPTBC71TH	AB023033.1	5.1830000	cLPT8K21
T1574	TPTBC76TH	AB010076.1	5.2840000	cLPT8M7
T1576	TPTBD02TH	AB008264.1	5.1350000	cLPT8A4
T1577	TPTBD08TH	AB025633.2	5.0410000	cLPT8A16
T1581	TPTBD78TH	AL021635.1	4.1170000	cLPT8M12
T1582	TPTBD81TH	AL035353.1	4.1470000	cLPT8M18
T1583	TPTBD87TH	AB011479.1	5.2890000	cLPT8O6
T1584	TPTBD96TH	AL132975.1	3.1193000	cLPT8O24
T1585	TPTBF01TH	AC006234.3	2.1200000	cLPT8B2
T1586	TPTBF09TH	AC005970.2	2.0320000	cLPT8B18
T1587	TPTBF10TH	AL078464.1	4.1530000	cLPT8B20
T1591	TPTBF45TH	AB007644.1	5.2150000	cLPT8H18
T1592	TPTBF48TH	AC010675.4	1.1354000	cLPT8H24
T1594	TPTBF63TH	AC010871.5	3.0123000	cLPT8L6
T1595	TPTBF82TH	AC010870.4	3.0025000	cLPT8N20
T1598	TPTBN14TH	AL050351.1	4.1960000	cLPT10D4
T1600	TPTBN31TH	AL035356.1	4.1250000	cLPT10F14
T1601	TPTBN33TH	AC008148.2	1.1390000	cLPT10F18
T1602	TPTBN41TH	AB018118.1	5.2430000	cLPT10H10
T1603	TPTBN46TH	AC010556.4	1.1401000	cLPT10H20
T1604	TPTBN59TH	AC004667.2	2.1940000	cLPT10J22
T1605	TPTBN60TH	AC008017.2	1.1400000	cLPT10J24
T1606	TPTBN61TH	Z97340.2	4.0890000	cLPT10L2
T1607	TPTBN62TH	AC002334.2	2.1860000	cLPT10L4
T1608	TPTBN63TH	AL391150.1	5.0254000	cLPT10L6
T1609	TPTBN64TH	AC011915.3	1.1334000	cLPT10L8
T1610	TPTBN65TH	AL050300.2	3.1180000	cLPT10L10
T1611	TPTBN66TH	AC006424.5	1.0720000	cLPT10L12
T1612	TPTBN73TH	AL163812.1	5.0172600	cLPT10N2
T1613	TPTBN78TH	U93215.2	2.1730000	cLPT10N12
T1614	TPTBN91TH	AL049658.1	3.1120000	cLPT10P14
T1615	TRZAA03TH	AF024504.2	2.1040000	cLEZ1A5
T1616	TRZAA06TH	AC013483.5	3.0121000	cLEZ1A11
T1617	TRZAA16TH	AC005896.2	2.2040000	cLEZ1C7
T1619	TRZAA37TV	AC005770.2	2.2110000	cLEZ1G1
T1620	TRZAA41TH	AP000375.1	3.0210000	cLEZ1G9
T1621	TRZAA44TH	AL021635.1	4.1170000	cLEZ1G15
T1622	TRZAA50TH	AC004005.2	2.2380000	cLEZ1I3
T1624	TRZAA54TH	AC007651.2	1.0442000	cLEZ1I11
T1625	TRZAA66TH	AL030978.1	4.1390000	cLEZ1K11
T1626	TRZAA69TV	AB011474.1	5.2950000	cLEZ1K17
T1627	TRZAA77TH	AC004521.2	2.2390000	cLEZ1M9
T1629	TRZAA81TV	AL049711.3	3.1170000	cLEZ1M17
T1630	TRZAA85TH	AC021198.2	1.0765000	cLEZ1O1
T1632	TRZAA96TH	AC005292.4	1.0510000	cLEZ1O23
T1634	TRZAU12TH	AL022223.3	4.1350000	cLEZ6A23
T1635	TRZAU44TH	AC021043.4	1.0616000	cLEZ6G15
T1636	TRZAU55TH	AC009853.2	3.0110000	cLEZ6I13
T1638	TRZAU65TH	AC000104.1	1.0090000	cLEZ6K9
T1639	TRZAU67TH	AL049751.1	4.0800000	cLEZ6K13
T1640	TRZAU72TH	AC011664.8	3.0036000	cLEZ6K23
T1641	TRZAU83TH	AC006260.3	2.2030000	cLEZ6M21
T1644	TRZBB21TH	AL353994.1	5.0159000	cLEZ7D18
T1646	TRZBB59TH	AL163792.1	5.0222000	cLEZ7J22
T1648	TRZBB82TH	AC006922.6	2.2020000	cLEZ7N20
T1649	TRZBB83TH	AP000371.1	3.0920000	cLEZ7N22
T1650	TRZBB86TH	AP000604.1	3.0605000	cLEZ7P4
T1651	TRZBB95TH	AC007178.5	2.0180000	cLEZ7P22
T1652	TRZBC08TH	AB025634.1	3.0630000	cLEZ8A15
T1653	TRZBC12TH	AC007169.7	2.1780000	cLEZ8A23
T1654	TRZBC22TH	AC068667.4	1.0617000	cLEZ8C19
T1655	TRZBC34TH	AC006223.3	2.1810000	cLEZ8E19
T1656	TRZBC35TH	AC004557.2	1.0600000	cLEZ8E21
T1657	TRZBC36TH	AC005499.2	2.2090000	cLEZ8E23
T1658	TRZBC38TH	AC007764.2	1.1230000	cLEZ8G3
T1659	TRZBC41TH	AC000098.1	1.0130000	cLEZ8G9
T1660	TRZBC59TH	AF069299.1	4.0020000	cLEZ8I21
