CU	Tomato EST	A.t. Best	A.t.	EST
T1164	TFBBJ43TH	AB012246	5.029	cTOB9H14 
T1168	TFBBJ85TH	AF069300	4.009	cTOB9P2  
T1169	TFBBK22TH	AB017063	5.195	cTOB10C19
T1171	TFBBK32TH	AL132955	3.1105	cTOB10E15
T1172	TFBBK47TH	AL080283	4.16	cTOB10G21
T1173	TFBBK51TH	AC007396	1.1415	cTOB10I5 
T1174	TFBBL15TH	AC008113	1.133	cTOB10C6 
T1176	TFBBL51TH	AC009323	1.104	cTOB10I6 
T1177	TPTAA06TH	AF177535	5.069	cLPT1A11 
T1179	TPTAA10TV	AL021811	4.164	cLPT1A19 
T1181	TPTAA15TH	AB025613	5.185	cLPT1C5  
T1182	TPTAA16TV	AB008270	5.024	cLPT1C7  
T1183	TPTAA18TH	AL133315	3.1141	cLPT1C11 
T1184	TPTAA20TV	AC004005	2.238	cLPT1C15 
T1185	TPTAA24TH	AC009322	1.155	cLPT1C23 
T1187	TPTAA27TH	AC006526	2.247	cLPT1E5  
T1188	TPTAA29TV	AC005496	2.168	cLPT1E9  
T1190	TPTAA40TH	AB025638	5.14	cLPT1G7  
T1196	TPTAA57TV	AL022537	4.167	cLPT1I17 
T1198	TPTAA63TV	AC009853	3.011	cLPT1K5  
T1200	TPTAA67TV	AC007660	2.221	cLPT1K13 
T1201	TPTAA69TH	AB025626	3.09	cLPT1K17 
T1202	TPTAA73TV	AB010072	5.122	cLPT1M1  
T1203	TPTAA74TV	U93215	2.173	cLPT1M3  
T1204	TPTAA75TV	AC006234	2.12	cLPT1M5  
T1205	TPTAA76TV	AC006283	2.161	cLPT1M7  
T1207	TPTAA81TV	AC006200	2.002	cLPT1M17 
T1208	TPTAA82TH	AC005278	1.005	cLPT1M19 
T1209	TPTAA83TV	AB026658	3.051	cLPT1M21 
T1211	TPTAA86TV	AB018115	5.216	cLPT1O3  
T1212	TPTAA89TH	AL132957	3.1186	cLPT1O9  
T1214	TPTAA96TH	AC004484	2.148	cLPT1O23 
T1215	TPTAB05TH	AC012654	1.1395	cLPT1A10 
T1217	TPTAB13TH	AL133314	3.1089	cLPT1C2  
T1218	TPTAB14TH	AC007196	2.016	cLPT1C4  
T1219	TPTAB18TH	AC009177	3.009	cLPT1C12 
T1220	TPTAB22TH	AC006931	2.232	cLPT1C20 
T1222	TPTAB30TH	Z97337	4.086	cLPT1E12 
T1223	TPTAB53TH	AL035525	4.17	cLPT1I10 
T1224	TPTAB63TH	AC007259	1.034	cLPT1K6  
T1226	TPTAB68TH	Z99707	4.187	cLPT1K16 
T1227	TPTAB70TH	AB007646	5.279	cLPT1K20 
T1228	TPTAB71TH	AC008051	1.1045	cLPT1K22 
T1230	TPTAC11TH	AL049659	3.114	cLPT1B21 
T1232	TPTAC15TH	AC013430	1.1496	cLPT1D5  
T1233	TPTAC22TH	AC008113	1.133	cLPT1D19 
T1235	TPTAD07TH	AB013392	5.236	cLPT1B14 
T1236	TPTAD15TH	AC013289	1.1353	cLPT1D6  
T1238	TPTAD35TH	AL035521	4.175	cLPT1F22 
T1240	TPTAD52TH	AC002131	1.037	cLPT1J8  
T1241	TPTAD53TH	AB006704	5.019	cLPT1J10 
T1242	TPTAD64TH	AB011477	5.12	cLPT1L8  
T1243	TPTAD72TH	AB025609	5.167	cLPT1L24 
T1244	TPTAD78TH	AB006699	5.032	cLPT1N12 
T1245	TPTAD81TH	AC011717	1.1541	cLPT1N18 
T1248	TPTAE09TH	AB013394	5.166	cLPT2A17 
T1249	TPTAE11TH	AL022141	4.185	cLPT2A21 
T1250	TPTAE15TH	AC000103	1.056	cLPT2C5  
T1251	TPTAE23TH	AL078620	4.197	cLPT2C21 
T1252	TPTAE25TH	AC004473	1.1049	cLPT2E1  
T1253	TPTAE31TH	AC015446	1.0735	cLPT2E13 
T1255	TPTAE44TH	AB010697	5.012	cLPT2G15 
T1256	TPTAE58TH	AC004077	2.191	cLPT2I19 
T1257	TPTAE60TH	AC007259	1.034	cLPT2I23 
T1258	TPTAE67TH	AL079349	4.079	cLPT2K13 
T1259	TPTAE68TH	AC002409	2.222	cLPT2K15 
T1260	TPTAE80TH	AC011664	3.0036	cLPT2M15 
T1261	TPTAE85TH	AL132975	3.1193	cLPT2O1  
T1262	TPTAE88TH	AB015476	5.212	cLPT2O7  
T1263	TPTAE91TH	AF080121	5.075	cLPT2O13 
T1264	TPTAE92TH	AC016447	1.1332	cLPT2O15 
T1265	TPTAF06TH	Z97338	4.087	cLPT2A12 
T1266	TPTAF09TH	AC003979	1.048	cLPT2A18 
T1267	TPTAF10TH	AC006569	2.117	cLPT2A20 
T1268	TPTAF17TH	AC005727	2.165	cLPT2C10 
T1269	TPTAF21TH	AC010924	1.043	cLPT2C18 
T1270	TPTAF28TH	AL078467	4.14	cLPT2E8  
T1271	TPTAF32TH	AC004411	2.251	cLPT2E16 
T1272	TPTAF35TH	AC009918	3.017	cLPT2E22 
T1273	TPTAF37TH	AC005142	4.021	cLPT2G2  
T1274	TPTAF54TH	AB015472	5.261	cLPT2I12 
T1275	TPTAF59TH	AC005396	2.087	cLPT2I22 
T1276	TPTAF61TH	AL109796	4.154	cLPT2K2  
T1277	TPTAF63TH	AC009978	1.142	cLPT2K6  
T1278	TPTAF69TH	AB012248	5.19	cLPT2K18 
T1280	TPTAF75TH	AB026632	5.257	cLPT2M6  
T1281	TPTAF87TH	AC005499	2.209	cLPT2O6  
T1283	TPTAF91TH	AB012247	3.035	cLPT2O14 
T1284	TPTAG06TH	AC002387	2.243	cLPT2B11 
T1285	TPTAG10TH	AC006569	2.117	cLPT2B19 
T1286	TPTAG15TH	AB010074	5.2	cLPT2D5  
T1287	TPTAG27TH	AF128392	4.005	cLPT2F5  
T1288	TPTAG29TH	AC015450	1.1431	cLPT2F9  
T1289	TPTAG46TH	AC010793	1.15	cLPT2H19 
T1290	TPTAG52TH	AC016162	1.1393	cLPT2J7  
T1291	TPTAG54TH	AL162972	5.0025	cLPT2J11 
T1292	TPTAG57TH	AL080282	4.108	cLPT2J17 
T1293	TPTAG58TH	AC008030	1.064	cLPT2J19 
T1294	TPTAG64TH	AL050399	4.072	cLPT2L7  
T1295	TPTAG66TH	Z97337	4.086	cLPT2L11 
T1296	TPTAG70TH	AC005168	2.151	cLPT2L19 
T1297	TPTAG78TH	AB007651	5.03	cLPT2N11 
T1299	TPTAG91TH	AL021711	4.099	cLPT2P13 
T1302	TPTAH07TH	AB012248	5.19	cLPT2B14 
T1304	TPTAH13TH	AL049915	4.168	cLPT2D2  
T1305	TPTAH24TH	AC004747	2.147	cLPT2D24 
T1306	TPTAH34TH	AL035538	4.191	cLPT2F20 
T1308	TPTAH52TH	AC020889	1.0879	cLPT2J8  
T1311	TPTAH70TH	AF001308	4.013	cLPT2L20 
T1312	TPTAH76TH	AL132960	3.1185	cLPT2N8  
T1313	TPTAH81TH	AB022215	3.065	cLPT2N18 
T1314	TPTAH96TH	AL035356	4.125	cLPT2P24 
T1315	TPTAN01TH	AC007233	2.03	cLPT4A2  
T1316	TPTAN03TH	AF000657	1.049	cLPT4A6  
T1317	TPTAN07TH	AC003981	1.022	cLPT4A14 
T1318	TPTAN08TH	AC003979	1.048	cLPT4A16 
T1319	TPTAN09TH	AC005292	1.051	cLPT4A18 
T1320	TPTAN11TH	Z97343	4.092	cLPT4A22 
T1321	TPTAN12TH	AL031018	4.118	cLPT4A24 
T1322	TPTAN14TH	AC001645	3.037	cLPT4C4  
T1323	TPTAN15TH	AC003981	1.022	cLPT4C6  
T1326	TPTAN27TH	AC020665	1.1271	cLPT4E6  
T1327	TPTAN30TH	AC023628	1.0015	cLPT4E12 
T1328	TPTAN34TH	AL049657	4.126	cLPT4E20 
T1329	TPTAN41TH	AL035440	4.137	cLPT4G10 
T1330	TPTAN45TH	AB018114	3.091	cLPT4G18 
T1331	TPTAN47TH	AB022219	3.045	cLPT4G22 
T1332	TPTAN55TH	AC009273	1.0017	cLPT4I14 
T1335	TPTAN80TH	AC008075	1.134	cLPT4M16 
T1336	TPTAN86TH	AC002986	1.1499	cLPT4O4  
T1340	TPTAO07TH	AC009465	3.008	cLPT4B13 
T1341	TPTAO08TH	AB028605	5.163	cLPT4B15 
T1343	TPTAO11TH	AC007661	2.206	cLPT4B21 
T1347	TPTAO25TH	AB019233	5.24	cLPT4F1  
T1349	TPTAO48TH	AB012247	3.035	cLPT4H23 
T1350	TPTAO49TH	AC005395	2.146	cLPT4J1  
T1351	TPTAO56TH	AL049658	3.112	cLPT4J15 
T1352	TPTAO59TH	AC007060	1.0642	cLPT4J21 
T1353	TPTAO69TH	AC034256	1.04025	cLPT4L17 
T1354	TPTAO70TH	AC007504	1.09	cLPT4L19 
T1355	TPTAO86TH	AC025295	1.06409	cLPT4P3  
T1356	TPTAO92TH	AC004261	2.223	cLPT4P15 
T1357	TPTAP01TH	AB019234	5.235	cLPT4B2  
T1358	TPTAP09TH	AL034567	4.165	cLPT4B18 
T1359	TPTAP10TH	AC011622	1.1215	cLPT4B20 
T1360	TPTAP20TH	AC002387	2.243	cLPT4D16 
T1361	TPTAP22TH	AC004667	2.194	cLPT4D20 
T1364	TPTAP45TH	AB016874	5.15	cLPT4H18 
T1365	TPTAP50TH	AC006932	1.021	cLPT4J4  
T1366	TPTAQ08TH	AB022219	3.045	cLPT5A15 
T1368	TPTAQ13TH	AL023094	4.176	cLPT5C1  
T1369	TPTAQ19TH	Z97339	4.088	cLPT5C13 
T1370	TPTAQ32TH	AC006569	2.117	cLPT5E15 
T1371	TPTAQ34TH	AL031018	4.118	cLPT5E19 
T1372	TPTAQ40TH	AB016889	3.086	cLPT5G7  
T1373	TPTAQ50TH	AB013396	5.244	cLPT5I3  
T1374	TPTAQ61TH	AB006700	5.011	cLPT5K1  
T1376	TPTAQ69TH	AB008265	5.275	cLPT5K17 
T1380	TPTAQ81TH	AC015449	1.0865	cLPT5M17 
T1381	TPTAQ83TH	AC006577	1.097	cLPT5M21 
T1383	TPTAQ94TH	AB015472	5.261	cLPT5O19 
T1384	TPTAR05TH	AC005917	2.114	cLPT5A10 
T1385	TPTAR17TH	AL022604	4.18	cLPT5C10 
T1388	TPTAR26TH	AL035394	4.121	cLPT5E4  
T1389	TPTAR28TH	AC006085	1.0912	cLPT5E8  
T1390	TPTAR29TH	AL049862	3.115	cLPT5E10 
T1391	TPTAR37TH	AP000372	5.175	cLPT5G2  
T1392	TPTAR40TH	AC009400	3.014	cLPT5G8  
T1393	TPTAR44TH	AL049607	4.162	cLPT5G16 
T1394	TPTAR47TH	AC008113	1.133	cLPT5G22 
T1395	TPTAR48TH	AL022140	4.114	cLPT5G24 
T1398	TPTAR64TH	AC004705	2.086	cLPT5K8  
T1399	TPTAR66TH	AC006929	2.158	cLPT5K12 
T1400	TPTAR67TH	AC013288	1.1275	cLPT5K14 
T1401	TPTAR69TH	AC009894	1.1	cLPT5K18 
T1405	TPTAR86TH	AC009243	1.149	cLPT5O4  
T1406	TPTAR96TH	AL132975	3.1193	cLPT5O24 
T1407	TPTAS08TH	AC002535	2.254	cLPT5B15 
T1409	TPTAS12TH	AF013293	4.003	cLPT5B23 
T1412	TPTAS22TH	AC011661	1.035	cLPT5D19 
T1413	TPTAS27TH	AC002521	2.011	cLPT5F5  
T1414	TPTAS31TH	AC011623	3.0114	cLPT5F13 
T1415	TPTAS38TH	U89959	1.0026	cLPT5H3  
T1416	TPTAS47TH	AC006072	2.256	cLPT5H21 
T1418	TPTAS53TH	AB016880	5.269	cLPT5J9  
T1420	TPTAS58TH	AF147263	4.035	cLPT5J19 
T1421	TPTAS63TH	AC002330	4.016	cLPT5L5  
T1422	TPTAS72TH	AB022217	3.039	cLPT5L23 
T1424	TPTAS87TH	AB025641	5.048	cLPT5P5  
T1428	TPTAT13TH	AC002505	2.149	cLPT5D2  
T1429	TPTAT19TH	AL132963	3.1142	cLPT5D14 
T1430	TPTAT22TH	AC004218	2.213	cLPT5D20 
T1433	TPTAT27TH	AF007269	4.008	cLPT5F6  
T1434	TPTAT35TH	AC013289	1.1353	cLPT5F22 
T1435	TPTAT42TH	AL163814	5.01724	cLPT5H12 
T1436	TPTAT49TH	AL353993	5.0225	cLPT5J2  
T1438	TPTAT53TH	AL022603	4.111	cLPT5J10 
T1440	TPTAT63TH	AC005990	1.053	cLPT5L6  
T1441	TPTAT66TH	AC016972	1.1391	cLPT5L12 
T1442	TPTAT68TH	AC008263	1.141	cLPT5L16 
T1443	TPTAT69TH	AB016880	5.269	cLPT5L18 
T1447	TPTAT77TH	AB019230	3.047	cLPT5N10 
T1448	TPTAT83TH	AC008075	1.134	cLPT5N22 
T1449	TPTAT92TH	AB020745	5.176	cLPT5P16 
T1450	TPTAU08TV	AC007048	2.119	cLPT6A15 
T1451	TPTAU12TH	AC011765	1.1407	cLPT6A23 
T1453	TPTAU20TH	AC011436	3.0131	cLPT6C15 
T1455	TPTAU24TH	AF128396	4.056	cLPT6C23 
T1456	TPTAU26TH	AB005230	5.021	cLPT6E3  
T1457	TPTAU29TH	AC013483	3.0121	cLPT6E9  
T1458	TPTAU32TH	Z97343	4.092	cLPT6E15 
T1459	TPTAU36TH	AC011663	1.1385	cLPT6E23 
T1460	TPTAU39TH	AC016827	3.0118	cLPT6G5  
T1462	TPTAU60TH	AL132964	3.1145	cLPT6I23 
T1463	TPTAU69TH	AL031018	4.118	cLPT6K17 
T1465	TPTAU71TH	AC005397	2.246	cLPT6K21 
T1467	TPTAV02TH	AP000378	5.205	cLPT6A4  
T1468	TPTAV14TH	AC011663	1.1385	cLPT6C4  
T1471	TPTAV20TH	AC003040	2.134	cLPT6C16 
T1473	TPTAV24TH	AC005990	1.053	cLPT6C24 
T1474	TPTAV26TH	AB013393	5.08	cLPT6E4  
T1475	TPTAV33TH	AC009325	3.003	cLPT6E18 
T1477	TPTAV42TH	AC002330	4.016	cLPT6G12 
T1478	TPTAV53TH	AC003981	1.022	cLPT6I10 
T1479	TPTAV56TH	AL022603	4.111	cLPT6I16 
T1480	TPTAV57TH	AL391143	5.0226	cLPT6I18 
T1481	TPTAV67TH	AL096692	4.15	cLPT6K14 
T1482	TPTAV74TH	AC005970	2.032	cLPT6M4  
T1483	TPTAV76TH	AB025624	3.054	cLPT6M8  
T1484	TPTAV85TH	AB016888	5.131	cLPT6O2  
T1485	TPTAV94TH	AC005388	1.099	cLPT6O20 
T1486	TPTAW08TH	AC009755	3.004	cLPT6B15 
T1487	TPTAW09TH	AC006053	2.145	cLPT6B17 
T1488	TPTAW10TH	AL162651	3.3	cLPT6B19 
T1490	TPTAW18TH	AC008017	1.14	cLPT6D11 
T1491	TPTAW23TH	AB018111	5.006	cLPT6D21 
T1492	TPTAW36TH	AL022224	4.105	cLPT6F23 
T1493	TPTAW45TH	AC009177	3.009	cLPT6H17 
T1494	TPTAW52TH	AB011474	5.295	cLPT6J7  
T1497	TPTAW74TH	AB023038	3.028	cLPT6N3  
T1499	TPTAW78TH	AC005679	1.1498	cLPT6N11 
T1500	TPTAW90TH	AB019235	5.27	cLPT6P11 
T1501	TPTAW91TH	AC007267	2.09	cLPT6P13 
T1502	TPTAX06TH	AC009360	1.126	cLPT6B12 
T1503	TPTAX11TH	AC005819	2.249	cLPT6B22 
T1504	TPTAX17TH	AC007209	2.075	cLPT6D10 
T1506	TPTAX29TH	AC011765	1.1407	cLPT6F10 
T1509	TPTAY14TH	AC000107	1.0644	cLPT7C3  
T1510	TPTAY16TH	AC007233	2.03	cLPT7C7  
T1511	TPTAY18TH	AL080253	4.106	cLPT7C11 
T1513	TPTAY25TH	AC006224	2.234	cLPT7E1  
T1514	TPTAY40TH	AL096859	3.109	cLPT7G7  
T1515	TPTAY42TH	AC006416	1.025	cLPT7G11 
T1516	TPTAY59TH	AC004077	2.191	cLPT7I21 
T1517	TPTAY72TH	AC005168	2.151	cLPT7K23 
T1518	TPTAY78TH	AB013392	5.236	cLPT7M11 
T1519	TPTAY85TH	AC020889	1.0879	cLPT7O1  
T1521	TPTAY93TH	AC010164	1.073	cLPT7O17 
T1522	TPTAZ06TH	AL031326	4.12	cLPT7A12 
T1523	TPTAZ14TH	AC002343	4.123	cLPT7C4  
T1524	TPTAZ20TH	AC007354	1.032	cLPT7C16 
T1525	TPTAZ27TH	AL132954	3.1192	cLPT7E6  
T1526	TPTAZ31TH	AB018109	5.198	cLPT7E14 
T1527	TPTAZ38TH	AL035678	4.171	cLPT7G4  
T1529	TPTAZ49TH	AB005243	5.035	cLPT7I2  
T1530	TPTAZ53TH	AB018113	5.155	cLPT7I10 
T1532	TPTAZ78TH	AL035527	4.112	cLPT7M12 
T1534	TPTBA01TH	AL049658	3.112	cLPT7B1  
T1535	TPTBA07TH	AC011915	1.1334	cLPT7B13 
T1536	TPTBA19TH	AB023046	3.036	cLPT7D13 
T1537	TPTBA25TH	AC002131	1.037	cLPT7F1  
T1539	TPTBA32TH	AC007583	1.019	cLPT7F15 
T1540	TPTBA88TH	AB005244	5.042	cLPT7P7  
T1541	TPTBA93TH	Z97341	4.09	cLPT7P17 
T1542	TPTBA94TH	AB011482	5.242	cLPT7P19 
T1543	TPTBB05TH	Z97335	4.084	cLPT7B10 
T1544	TPTBB19TH	AL109796	4.154	cLPT7D14 
T1545	TPTBB27TH	Z99708	4.186	cLPT7F6  
T1546	TPTBB35TH	AB016886	5.171	cLPT7F22 
T1547	TPTBB43TH	AB026651	5.143	cLPT7H14 
T1548	TPTBB51TH	AL079344	4.151	cLPT7J6  
T1549	TPTBB54TH	AC002409	2.222	cLPT7J12 
T1550	TPTBB56TH	AC011020	1.132	cLPT7J16 
T1551	TPTBB57TH	AC008007	1.094	cLPT7J18 
T1554	TPTBB81TH	AB026648	3.085	cLPT7N18 
T1555	TPTBB82TH	AB013389	5.297	cLPT7N20 
T1556	TPTBB86TH	AB009053	5.273	cLPT7P4  
T1557	TPTBB93TH	AC007197	2.081	cLPT7P18 
T1559	TPTBC03TH	AB025633	5.041	cLPT8A5  
T1560	TPTBC06TH	AC013430	1.1496	cLPT8A11 
T1561	TPTBC19TH	AC009273	1.0017	cLPT8C13 
T1563	TPTBC32TH	AC009991	3.015	cLPT8E15 
T1564	TPTBC34TH	AL132958	3.1183	cLPT8E19 
T1566	TPTBC56TH	AC011664	3.0036	cLPT8I15 
T1568	TPTBC62TH	AC006068	2.196	cLPT8K3  
T1569	TPTBC67TH	AB006697	5.015	cLPT8K13 
T1570	TPTBC68TH	AC003672	2.24	cLPT8K15 
T1571	TPTBC69TH	AL021712	4.115	cLPT8K17 
T1572	TPTBC71TH	AB023033	5.183	cLPT8K21 
T1574	TPTBC76TH	AB010076	5.284	cLPT8M7  
T1576	TPTBD02TH	AB008264	5.135	cLPT8A4  
T1577	TPTBD08TH	AB025633	5.041	cLPT8A16 
T1581	TPTBD78TH	AL021635	4.117	cLPT8M12 
T1582	TPTBD81TH	AL035353	4.147	cLPT8M18 
T1583	TPTBD87TH	AB011479	5.289	cLPT8O6  
T1584	TPTBD96TH	AL132975	3.1193	cLPT8O24 
T1585	TPTBF01TH	AC006234	2.12	cLPT8B2  
T1586	TPTBF09TH	AC005970	2.032	cLPT8B18 
T1587	TPTBF10TH	AL078464	4.153	cLPT8B20 
T1591	TPTBF45TH	AB007644	5.215	cLPT8H18 
T1592	TPTBF48TH	AC010675	1.1354	cLPT8H24 
T1594	TPTBF63TH	AC010871	3.0123	cLPT8L6  
T1595	TPTBF82TH	AC010870	3.0025	cLPT8N20 
T1598	TPTBN14TH	AL050351	4.196	cLPT10D4 
T1600	TPTBN31TH	AL035356	4.125	cLPT10F14
T1601	TPTBN33TH	AC008148	1.139	cLPT10F18
T1602	TPTBN41TH	AB018118	5.243	cLPT10H10
T1603	TPTBN46TH	AC010556	1.1401	cLPT10H20
T1604	TPTBN59TH	AC004667	2.194	cLPT10J22
T1605	TPTBN60TH	AC008017	1.14	cLPT10J24
T1606	TPTBN61TH	Z97340	4.089	cLPT10L2 
T1607	TPTBN62TH	AC002334	2.186	cLPT10L4 
T1608	TPTBN63TH	AL391150	5.0254	cLPT10L6 
T1609	TPTBN64TH	AC011915	1.1334	cLPT10L8 
T1610	TPTBN65TH	AL050300	3.118	cLPT10L10
T1611	TPTBN66TH	AC006424	1.072	cLPT10L12
T1612	TPTBN73TH	AL163812	5.01726	cLPT10N2 
T1613	TPTBN78TH	U93215	2.173	cLPT10N12
T1614	TPTBN91TH	AL049658	3.112	cLPT10P14
T1615	TRZAA03TH	AF024504	2.104	cLEZ1A5  
T1616	TRZAA06TH	AC013483	3.0121	cLEZ1A11 
T1617	TRZAA16TH	AC005896	2.204	cLEZ1C7  
T1619	TRZAA37TV	AC005770	2.211	cLEZ1G1  
T1620	TRZAA41TH	AP000375	3.021	cLEZ1G9  
T1621	TRZAA44TH	AL021635	4.117	cLEZ1G15 
T1622	TRZAA50TH	AC004005	2.238	cLEZ1I3  
T1624	TRZAA54TH	AC007651	1.0442	cLEZ1I11 
T1625	TRZAA66TH	AL030978	4.139	cLEZ1K11 
T1626	TRZAA69TV	AB011474	5.295	cLEZ1K17 
T1627	TRZAA77TH	AC004521	2.239	cLEZ1M9  
T1629	TRZAA81TV	AL049711	3.117	cLEZ1M17 
T1630	TRZAA85TH	AC021198	1.0765	cLEZ1O1  
T1632	TRZAA96TH	AC005292	1.051	cLEZ1O23 
T1634	TRZAU12TH	AL022223	4.135	cLEZ6A23 
T1635	TRZAU44TH	AC021043	1.0616	cLEZ6G15 
T1636	TRZAU55TH	AC009853	3.011	cLEZ6I13 
T1638	TRZAU65TH	AC000104	1.009	cLEZ6K9  
T1639	TRZAU67TH	AL049751	4.08	cLEZ6K13 
T1640	TRZAU72TH	AC011664	3.0036	cLEZ6K23 
T1641	TRZAU83TH	AC006260	2.203	cLEZ6M21 
T1644	TRZBB21TH	AB020752	5.016	cLEZ7D18 
T1646	TRZBB59TH	AL163792	5.0222	cLEZ7J22 
T1648	TRZBB82TH	AC006922	2.202	cLEZ7N20 
T1649	TRZBB83TH	AP000371	3.092	cLEZ7N22 
T1650	TRZBB86TH	AP000604	3.0605	cLEZ7P4  
T1651	TRZBB95TH	AC007178	2.018	cLEZ7P22 
T1652	TRZBC08TH	AB025634	3.063	cLEZ8A15 
T1653	TRZBC12TH	AC007169	2.178	cLEZ8A23 
T1654	TRZBC22TH	AC068667	1.0617	cLEZ8C19 
T1655	TRZBC34TH	AC006223	2.181	cLEZ8E19 
T1656	TRZBC35TH	AC004557	1.06	cLEZ8E21 
T1657	TRZBC36TH	AC005499	2.209	cLEZ8E23 
T1658	TRZBC38TH	AC007764	1.123	cLEZ8G3  
T1659	TRZBC41TH	AC000098	1.013	cLEZ8G9  
T1660	TRZBC59TH	AF069299	4.002	cLEZ8I21 
T1662	TRZBC76TH	AF069442	4.018	cLEZ8M7  
T1663	TRZBC79TH	AB006697	5.015	cLEZ8M13 
T1664	TRZBC80TH	AB008268	5.282	cLEZ8M15 
T1665	TRZBC87TH	AC010155	1.0615	cLEZ8O5  
T1666	TRZBD03TH	AC006300	2.144	cLEZ8A6  
T1667	TRZBD06TH	AB025606	5.206	cLEZ8A12 
T1668	TRZBD07TH	AL080253	4.106	cLEZ8A14 
T1669	TRZBD08TH	AC007454	1.074	cLEZ8A16 
T1670	TRZBD12TH	AC015985	3.0132	cLEZ8A24 
T1671	TRZBD16TH	AF024504	2.104	cLEZ8C8  
T1673	TRZBD24TH	AC010927	3.0135	cLEZ8C24 
T1675	TRZBD37TH	AC012563	1.1331	cLEZ8G2  
T1676	TRZBD54TH	AC027665	1.04466	cLEZ8I12 
T1677	TRZBD55TH	AL035396	4.128	cLEZ8I14 
T1679	TRZBD60TH	AC006264	2.121	cLEZ8I24 
T1680	TRZBD70TH	AC002332	2.187	cLEZ8K20 
T1681	TRZBD79TH	AL021961	4.174	cLEZ8M14 
T1682	TRZBF06TH	AC006921	2.199	cLEZ8B12 
T1683	TRZBF08TH	AB025631	3.056	cLEZ8B16 
T1684	TRZBF09TH	AC027034	1.0994	cLEZ8B18 
T1685	TRZBF14TH	AC004122	1.028	cLEZ8D4  
T1687	TRZBF32TH	AC003970	1.026	cLEZ8F16 
T1688	TRZBF48TH	AC007396	1.1415	cLEZ8H24 
T1689	TRZBF68TH	AL132955	3.1105	cLEZ8L16 
T1690	TRZBF70TH	AB022215	3.065	cLEZ8L20 
T1692	TRZBF92TH	AC006232	2.156	cLEZ8P16 
T1694	TRZBG02TH	AB009051	5.274	cLEZ9A3  
T1695	TRZBG05TH	AC006068	2.196	cLEZ9A9  
T1696	TRZBG12TH	AF069716	5.051	cLEZ9A23 
T1697	TRZBG19TH	AL035708	4.19801	cLEZ9C13 
T1698	TRZBG33TH	AB010693	5.151	cLEZ9E17 
T1699	TRZBG34TH	AB026655	3.067	cLEZ9E19 
T1700	TRZBG45TH	AP002063	3.0172	cLEZ9G17 
T1701	TRZBG50TH	AC005698	1.117	cLEZ9I3  
T1702	TRZBG53TH	AL049482	4.062	cLEZ9I9  
T1703	TRZBG63TH	AC004561	2.167	cLEZ9K5  
T1704	TRZBG70TH	AC018907	3.0113	cLEZ9K19 
T1705	TRZBG76TH	AP000607	5.0935	cLEZ9M7  
T1706	TRZBG82TH	AC011664	3.0036	cLEZ9M19 
T1707	TRZBH21TH	AL031394	4.172	cLEZ9C18 
T1708	TRZBH22TH	AF002109	2.216	cLEZ9C20 
T1709	TRZBH35TH	AL049746	3.111	cLEZ9E22 
T1710	TRZBH45TH	AC005287	1.098	cLEZ9G18 
T1711	TRZBH48TH	AB018119	5.298	cLEZ9G24 
T1712	TRZBH60TH	AL022373	4.184	cLEZ9I24 
T1713	TRZBH66TH	AL021961	4.174	cLEZ9K12 
T1714	TRZBH72TH	AB011484	5.02	cLEZ9K24 
T1715	TRZBH77TH	AC009322	1.155	cLEZ9M10 
T1716	TRZBH82TH	AB013389	5.297	cLEZ9M20 
T1717	TRZBH91TH	AL132969	3.1182	cLEZ9O14 
T1719	TRZBI06TH	AC000098	1.013	cLEZ9B11 
T1720	TRZBI10TH	AL132962	3.25	cLEZ9B19 
T1721	TRZBI14TH	AF077407	5.059	cLEZ9D3  
T1722	TRZBI19TH	AL023094	4.176	cLEZ9D13 
T1723	TRZBI34TH	AB025633	5.041	cLEZ9F19 
T1724	TRZBI58TH	AC002505	2.149	cLEZ9J19 
T1725	TRZBI67TH	AB011480	5.027	cLEZ9L13 
T1726	TRZBI70TH	AC006955	2.023	cLEZ9L19 
T1728	TRZBJ01TH	AL049862	3.115	cLEZ9B2  
T1729	TRZBJ07TH	AL133452	3.11506	cLEZ9B14 
T1734	TRZBJ44TH	AB028607	3.081	cLEZ9H16 
T1735	TRZBJ45TH	AB016882	5.164	cLEZ9H18 
T1736	TRZBJ50TH	AL035602	4.141	cLEZ9J4  
T1737	TRZBJ51TH	AL049914	4.158	cLEZ9J6  
T1738	TRZBJ56TH	AB025629	3.06	cLEZ9J16 
T1739	TRZBJ58TH	AB028607	3.081	cLEZ9J20 
T1742	TRZBJ62TH	AC019018	1.0932	cLEZ9L4  
T1743	TRZBJ66TH	AC010927	3.0135	cLEZ9L12 
T1744	TRZBJ79TH	AC002505	2.149	cLEZ9N14 
T1746	TRZBJ90TH	AB010692	5.007	cLEZ9P12 
T1747	TRZBJ92TH	AC011622	1.1215	cLEZ9P16 
T1749	TRZBK20TH	AL050351	4.196	cLEZ10C15
T1750	TRZBK34TH	AC007592	1.018	cLEZ10E19
T1751	TRZBK46TH	AL021684	5.293	cLEZ10G19
T1752	TRZBK71TH	AB005230	5.021	cLEZ10K21
T1753	TRZBK73TH	AL078637	4.124	cLEZ10M1 
T1755	TRZBK85TH	AB005241	5.008	cLEZ10O1 
T1756	TRZBK89TH	AP000372	5.175	cLEZ10O9 
